Desciption,Symbol,Direction,Change ( % )
Microsoft Corporation - Common Stock,MSFT,down,-3.769
"Nike, Inc. Common Stock",NKE,down,-2.917
American Express Company Common Stock,AXP,down,-2.752
Apple Inc. - Common Stock,AAPL,down,-2.228
"Salesforce, Inc. Common Stock",CRM,down,-1.861
"Cisco Systems, Inc. - Common Stock",CSCO,down,-1.750
Chevron Corporation Common Stock,CVX,down,-1.418
"Home Depot, Inc. (The) Common Stock",HD,down,-1.244
Visa Inc.,V,down,-1.224
Walt Disney Company (The) Common Stock,DIS,down,-1.062
Verizon Communications Inc. Common Stock,VZ,up,1.438
Amgen Inc. - Common Stock,AMGN,up,0.946
"Goldman Sachs Group, Inc. (The) Common Stock",GS,up,0.881
"The Travelers Companies, Inc. Common Stock",TRV,up,0.876
Boeing Company (The) Common Stock,BA,up,0.742
"Walgreens Boots Alliance, Inc. - Common Stock",WBA,up,0.683
Dow Inc. Common Stock,DOW,up,0.503
3M Company Common Stock,MMM,up,0.401
Coca-Cola Company (The) Common Stock,KO,up,0.376
JP Morgan Chase & Co. Common Stock,JPM,up,0.067
AT&T Inc.,T,down,-19.208
NVIDIA Corporation - Common Stock,NVDA,down,-5.588
Occidental Petroleum Corporation Common Stock,OXY,down,-5.583
"Diamondback Energy, Inc. - Commmon Stock",FANG,down,-4.972
"Advanced Micro Devices, Inc. - Common Stock",AMD,down,-4.822
APA Corporation - Common Stock,APA,down,-4.568
Albemarle Corporation Common Stock,ALB,down,-4.422
ConocoPhillips Common Stock,COP,down,-4.396
"IDEXX Laboratories, Inc. - Common Stock",IDXX,down,-4.382
"Match Group, Inc. - Common Stock",MTCH,down,-4.270
"Ross Stores, Inc. - Common Stock",ROST,up,3.676
"Delta Air Lines, Inc. Common Stock",DAL,up,3.293
Molson Coors Beverage Company Class B Common Stock,TAP,up,2.938
General Motors Company Common Stock,GM,up,2.630
"American Airlines Group, Inc. - Common Stock",AAL,up,2.410
SVB Financial Group - Common Stock,SIVB,up,2.383
"Bath & Body Works, Inc.",BBWI,up,2.330
Raytheon Technologies Corporation Common Stock,RTX,up,2.122
Lockheed Martin Corporation Common Stock,LMT,up,2.115
"Charter Communications, Inc. - Class A Common Stock",CHTR,up,1.931
Bicycle Therapeutics plc - American Depositary Shares,BCYC,down,-34.029
Singularity Future Technology Ltd. - Common Stock,SGLY,down,-31.383
"Blue Water Vaccines, Inc. - Common Stock",BWV,down,-21.843
"C4 Therapeutics, Inc. - Common Stock",CCCC,down,-20.814
"Werewolf Therapeutics, Inc. - Common Stock",HOWL,down,-14.286
Cerberus Cyber Sentinel Corporation - Common Stock,CISO,down,-12.691
"Zentalis Pharmaceuticals, Inc. - common stock",ZNTL,down,-12.393
Snow Lake Resources Ltd. - Common Shares,LITM,down,-11.487
Eagle Bulk Shipping Inc. - Common Stock,EGLE,down,-10.433
"Nurix Therapeutics, Inc. - Common stock",NRIX,down,-10.256
Veru Inc. - Common Stock,VERU,up,155.632
"VNET Group, Inc. - American Depositary Shares",VNET,up,32.685
Affimed N.V. - Common Stock,AFMD,up,12.980
Bilibili Inc. - American Depositary Shares,BILI,up,8.324
Akanda Corp. - Common Shares,AKAN,up,8.097
"Lyra Therapeutics, Inc. - Common Stock",LYRA,up,7.955
"Citi Trends, Inc. - Common Stock",CTRN,up,7.034
Chindata Group Holdings Limited - American Depositary Shares,CD,up,6.932
"Varonis Systems, Inc. - Common Stock",VRNS,up,6.523
Freshworks Inc. - Class A Common Stock,FRSH,up,6.387
