description,Open Price,Bid Price,Ask Price,Net % Change (decimal),Market % change (decimal)
"Cisco Systems, Inc. - Common Stock",51.7,51.82,51.94,-1.7965,-2.0045
Visa Inc.,216.5,211.51,212.5,-1.56,-1.5087
"Merck & Company, Inc. Common Stock (new)",86.0,85.63,85.75,-1.1543,-1.1543
American Express Company Common Stock,176.57,175.57,176.68,-1.1432,-1.1263
Microsoft Corporation - Common Stock,289.235,283.1,283.3,-0.6871,-0.7572
JP Morgan Chase & Co. Common Stock,132.14,131.38,131.54,-1.0977,-1.0977
3M Company Common Stock,151.34,148.58,148.99,-1.0258,-1.0258
UnitedHealth Group Incorporated Common Stock (DE),535.41,533.71,537.48,-0.694,-0.694
Walmart Inc. Common Stock,154.24,153.31,153.69,-0.687,-0.6352
McDonald's Corporation Common Stock,250.73,249.17,249.79,-0.5111,-0.5111
Dow Inc. Common Stock,62.51,63.32,63.4,2.1146,2.2115
Chevron Corporation Common Stock,168.97,169.8,170.3,2.0838,2.561
Coca-Cola Company (The) Common Stock,64.38,64.56,64.85,1.1754,1.1754
Apple Inc. - Common Stock,168.02,168.35,168.6,1.6471,1.5686
Honeywell International Inc. - Common Stock,190.9,191.2,191.99,1.025,1.0197
Boeing Company (The) Common Stock,175.5,176.7,176.97,0.7142,0.9541
"Caterpillar, Inc. Common Stock",215.45,216.75,218.0,0.3009,0.324
Walt Disney Company (The) Common Stock,131.81,131.1,131.4,0.1454,0.3444
"Nike, Inc. Common Stock",125.2,125.17,130.0,0.048,0.152
Johnson & Johnson Common Stock,179.2,180.0,180.68,0.0334,0.089
CarMax Inc,99.63,93.33,93.95,-9.5377,-9.5377
"Catalent, Inc. Common Stock",105.98,93.46,104.32,-6.5297,-6.5297
"Twitter, Inc. Common Stock",47.03,44.55,44.64,-5.3818,-5.2329
"Bio-Rad Laboratories, Inc. Class A Common Stock",587.3,410.1,760.0,-5.3365,-5.3365
Generac Holdlings Inc. Common Stock,275.29,265.2,266.75,-4.5061,-4.398
"Agilent Technologies, Inc. Common Stock",131.69,125.1,130.93,-4.472,-4.472
"Etsy, Inc. - Common Stock",120.18,113.4,114.0,-2.9176,-3.2588
Danaher Corporation Common Stock,290.38,279.1,281.73,-3.5655,-3.5655
"West Pharmaceutical Services, Inc. Common Stock",398.69,321.17,436.0,-3.5006,-3.5006
"IDEXX Laboratories, Inc. - Common Stock",517.95,497.25,509.0,-2.8573,-3.349
Marathon Oil Corporation Common Stock,25.8,26.33,26.42,4.1634,4.4013
Devon Energy Corporation Common Stock,61.45,62.75,62.95,3.7148,4.5311
"Darden Restaurants, Inc. Common Stock",129.3,130.15,138.0,3.1611,3.1611
"Cardinal Health, Inc. Common Stock",62.26,62.0,64.0,3.1281,3.1281
"Diamondback Energy, Inc. - Commmon Stock",137.27,139.5,140.99,3.7673,3.2492
Nucor Corporation Common Stock,154.76,157.24,165.31,2.9058,2.9058
APA Corporation - Common Stock,41.98,42.32,42.59,3.701,3.0436
"EOG Resources, Inc. Common Stock",123.8,125.1,128.67,2.6619,3.0987
"CF Industries Holdings, Inc. Common Stock",108.45,109.59,110.83,2.5876,2.5876
"Bath & Body Works, Inc.",48.44,46.5,50.5,2.5163,2.5163
TeraWulf Inc. - Common Stock,6.77,5.51,5.62,-30.0761,-30.0761
Veru Inc. - Common Stock,13.61,10.25,10.28,-16.2866,-16.5309
"Blue Water Vaccines, Inc. - Common Stock",7.57,6.68,6.7,-16.7702,-17.0186
BriaCell Therapeutics Corp. - Common Shares,11.55,10.0,10.3,-13.5274,-14.3836
Bicycle Therapeutics plc - American Depositary Shares,28.09,24.03,24.99,-13.9188,-13.5717
Integrated Media Technology Limited - Ordinary Shares,7.29,6.02,6.1,-13.3813,-13.3813
"Zentalis Pharmaceuticals, Inc. - common stock",30.8,26.54,27.81,-10.9225,-13.0685
"Fulcrum Therapeutics, Inc. - Common Stock",18.5,16.24,16.49,-10.7298,-10.7299
"Castle Biosciences, Inc. - Common stock",31.75,27.5,28.01,-10.5757,-10.5757
Bilibili Inc. - American Depositary Shares,27.4,24.94,24.97,-9.4668,-9.5394
"Aterian, Inc. - Common Stock",4.2,5.21,5.23,28.9604,28.9604
Singularity Future Technology Ltd. - Common Stock,7.44,8.51,8.54,20.6215,20.6215
"Ramaco Resources, Inc. - Common Stock",15.68,17.03,17.63,12.2715,14.2298
"KLX Energy Services Holdings, Inc.  - Common Stock",5.34,5.91,5.95,13.4357,13.4357
Longeveron Inc. - common stock,8.99,9.79,9.93,11.1982,11.1982
ZimVie Inc. - Common Stock,24.46,22.3,26.7,10.8187,10.3592
Gogo Inc. - Common Stock,21.01,22.97,23.2,9.8517,10.0909
"C4 Therapeutics, Inc. - Common Stock",7.99,8.84,9.09,13.4831,10.362
"Nurix Therapeutics, Inc. - Common stock",12.77,13.12,13.9,7.599,7.599
Weatherford International plc - Ordinary shares,34.67,36.69,37.1,8.0105,7.5444
